,alpha,beta,gamma,tau,scf_cc,nn_scf_cc
219,4,0.5,20,0.6,2.503431344,2.486742
220,4,0.6,20,0.6,2.492926401,2.513748
221,4,0.7,20,0.6,2.502025078,2.5407543
222,22,0.2,20,0.6,2.095994446,2.0158403
223,22,0.3,20,0.6,2.485942664,2.492232
224,22,0.4,20,0.6,2.504154186,2.5275571
225,22,0.5,20,0.6,2.493467899,2.4638488
226,22,0.6,20,0.6,2.432893649,2.4328156
227,22,0.7,20,0.6,2.368974856,2.4017828
228,40,0.2,20,0.6,2.095898274,2.0227878
229,40,0.3,20,0.6,2.485919713,2.5013871
230,40,0.4,20,0.6,2.504044306,2.5385683
231,40,0.5,20,0.6,2.493243425,2.467404
232,40,0.6,20,0.6,2.432496555,2.4363706
233,40,0.7,20,0.6,2.368291221,2.4053378
234,4,0.2,26,0.6,2.747287964,2.7426467
235,4,0.3,26,0.6,3.035943226,3.0386426
236,4,0.4,26,0.6,2.967914217,2.9708579
237,4,0.5,26,0.6,2.924415204,2.930354
238,4,0.6,26,0.6,2.901363171,2.9297538
239,4,0.7,26,0.6,2.922290853,2.95676
240,22,0.2,26,0.6,2.750801013,2.7495947
241,22,0.3,26,0.6,3.041753694,3.0480523
242,22,0.4,26,0.6,2.961753379,2.9464958
243,22,0.5,26,0.6,2.876179133,2.8479528
244,22,0.6,26,0.6,2.775016589,2.7818577
245,22,0.7,26,0.6,2.703060128,2.750825
246,40,0.2,26,0.6,2.750756975,2.7565422
247,40,0.3,26,0.6,3.041557148,3.0574627
248,40,0.4,26,0.6,2.961182395,2.9575074
249,40,0.5,26,0.6,2.874906884,2.8589644
250,40,0.6,26,0.6,2.772746726,2.7854125
251,40,0.7,26,0.6,2.69940088,2.7543797
252,4,0.2,32,0.6,3.300567212,3.2913773
253,4,0.3,32,0.6,3.452912128,3.4682357
254,4,0.4,32,0.6,3.341437685,3.4039416
255,4,0.5,32,0.6,3.310429214,3.3672967
256,4,0.6,32,0.6,3.302229743,3.330652
257,4,0.7,32,0.6,3.333961541,3.3315237
258,22,0.2,32,0.6,3.302864074,3.2976818
259,22,0.3,32,0.6,3.443699439,3.4308481
260,22,0.4,32,0.6,3.313869792,3.3101165
261,22,0.5,32,0.6,3.217742019,3.215433
262,22,0.6,32,0.6,3.112454601,3.1207488
263,22,0.7,32,0.6,3.025250654,3.0561252
264,40,0.2,32,0.6,3.302781639,3.3039868
265,40,0.3,32,0.6,3.449951678,3.4377587
266,40,0.4,32,0.6,3.312340234,3.3186283
267,40,0.5,32,0.6,3.214373567,3.2239447
268,40,0.6,32,0.6,3.106520601,3.129261
269,40,0.7,32,0.6,3.015623684,3.057181
270,4,0.2,8,0.8,0.00433075,0.17543691
271,4,0.3,8,0.8,0.631412865,0.6916279
272,4,0.4,8,0.8,0.860289129,0.93626416
273,4,0.5,8,0.8,1.382637144,1.4285545
274,4,0.6,8,0.8,1.600746042,1.6368566
275,4,0.7,8,0.8,1.714557776,1.7589287
276,22,0.2,8,0.8,0.004348023,0.163738
277,22,0.3,8,0.8,0.636556997,0.69013906
278,22,0.4,8,0.8,0.873049506,0.9347753
279,22,0.5,8,0.8,1.41271179,1.4234644
280,22,0.6,8,0.8,1.636858567,1.6317666
281,22,0.7,8,0.8,1.739899438,1.7483399
282,40,0.2,8,0.8,0.004348091,0.1520394
283,40,0.3,8,0.8,0.636934775,0.679001
284,40,0.4,8,0.8,0.873452215,0.93328637
285,40,0.5,8,0.8,1.028170772,1.4183745
286,40,0.6,8,0.8,1.636275725,1.6266766
287,40,0.7,8,0.8,1.739920795,1.7445731
288,4,0.2,14,0.8,0.958582457,1.0397424
289,4,0.3,14,0.8,1.959851821,2.0126646
290,4,0.4,14,0.8,2.357941557,2.3810883
291,4,0.5,14,0.8,2.48876884,2.501431
292,4,0.6,14,0.8,2.507771473,2.552142
293,4,0.7,14,0.8,2.534707643,2.5470626
294,22,0.2,14,0.8,0.961551233,1.0318668
295,22,0.3,14,0.8,1.972836387,2.0189962
296,22,0.4,14,0.8,2.382321949,2.3877883
297,22,0.5,14,0.8,2.513006077,2.508131
298,22,0.6,14,0.8,2.510295097,2.5314858
299,22,0.7,14,0.8,2.485060368,2.4683676
300,40,0.2,14,0.8,0.96208583,1.0239911
301,40,0.3,14,0.8,1.971745343,2.0097075
302,40,0.4,14,0.8,2.382335708,2.3944886
303,40,0.5,14,0.8,2.513032563,2.5148313
304,40,0.6,14,0.8,2.510292487,2.5325859
305,40,0.7,14,0.8,2.485002956,2.4694674
306,4,0.2,20,0.8,2.198150308,2.1983502
307,4,0.3,20,0.8,2.99186524,3.0529647
308,4,0.4,20,0.8,3.170780349,3.1652155
309,4,0.5,20,0.8,3.186175483,3.2094355
310,4,0.6,20,0.8,3.164834133,3.1688552
311,4,0.7,20,0.8,3.137477985,3.1617727
312,22,0.2,20,0.8,2.20218196,2.1867352
313,22,0.3,20,0.8,3.003615317,3.0381043
314,22,0.4,20,0.8,3.183713508,3.1503553
315,22,0.5,20,0.8,3.178342629,3.1673517
316,22,0.6,20,0.8,3.102471687,3.0687323
317,22,0.7,20,0.8,2.987150841,3.0021927
318,40,0.2,20,0.8,1.654945069,1.9952129
319,40,0.3,20,0.8,3.003590987,3.0232444
320,40,0.4,20,0.8,3.183592723,3.1359596
321,40,0.5,20,0.8,3.178012968,3.1559494
322,40,0.6,20,0.8,3.101883002,3.0573301
323,40,0.7,20,0.8,2.98615329,2.983334
324,4,0.2,26,0.8,3.193105095,3.2205582
325,4,0.3,26,0.8,3.810873741,3.8061674
326,4,0.4,26,0.8,3.811222664,3.8192625
327,4,0.5,26,0.8,3.73631982,3.7529864
328,4,0.6,26,0.8,3.691217148,3.712482
329,4,0.7,26,0.8,3.715939038,3.671978
330,22,0.2,26,0.8,3.196932756,3.2087595
331,22,0.3,26,0.8,3.816020797,3.7948978
332,22,0.4,26,0.8,3.803056959,3.7701674
333,22,0.5,26,0.8,3.684467277,3.647377
334,22,0.6,26,0.8,3.557206442,3.5487573
335,22,0.7,26,0.8,3.463257787,3.4501383
336,40,0.2,26,0.8,3.196879553,3.1968687
337,40,0.3,26,0.8,3.815730421,3.7800376
338,40,0.4,26,0.8,3.802221502,3.7571633
339,40,0.5,26,0.8,3.682668363,3.6359746
340,40,0.6,26,0.8,3.553933756,3.5373554
341,40,0.7,26,0.8,3.44049079,3.438736
342,4,0.2,32,0.8,3.991718895,3.968739
343,4,0.3,32,0.8,4.386205494,4.4088044
344,4,0.4,32,0.8,4.321825133,4.3281994
